symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_latest_title,flow_top_brokers,flow_event_mix,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,active_source_count,card_score
089980,상아프론테크,전자장비와기기,,,,,,,0.903,0.003,2.0,1.0,0.0,0.6704,0.0,0.0,0.0,0.0,-0.0572,0.925,0.5,상아프론테크(089980) 글로벌 위성 사업자용 소재사업 호조로 이익 증가,,,0,,,,,,,,0.20238095238095238,,,,,1,0.20952380952380953
019180,티에이치엔,자동차부품,,,,,,,0.8516,0.1516,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2185,0.5785,0.0,P/E가 3배도 안 되네요,,,0,,,,,,,,0.19047619047619047,,,,,1,0.1994047619047619
456160,지투지바이오,제약,,,,,,,0.8415,0.1415,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.132,0.5585,0.0,삼성에피스 L/O 성공에 투자 유치까지,,,0,,,,,,,,0.17857142857142858,,,,,1,0.18928571428571428
028050,삼성E&A,건설,,,,,,,0.7857,0.0857,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.1142,0.5495,0.0,실적보다는 높아진 뉴에너지 성장성에 주목,,,0,,,,,,,,0.16666666666666666,,,,,1,0.17916666666666667
360350,코셈,전자장비와기기,,,,,,,0.666,-0.034,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0067,0.5708,0.0,제2의 파크시스템스를 찾는다면,,,0,,,,,,,,0.15476190476190477,,,,,1,0.16904761904761906
339950,아이비김영,교육서비스,,,,,,,-0.0269,-0.7269,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,아이비김영(339950) 안정적인 성장 흐름 & 저평가,,,0,,,,,,,,0.14285714285714285,,,,,1,0.15892857142857142
138080,오이솔루션,통신장비,,,,,,,-0.1942,-0.8942,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,오이솔루션(138080) AI 데이터센터로 체급 올리기,,,0,,,,,,,,0.13095238095238096,,,,,1,0.1488095238095238
071840,롯데하이마트,유통/백화점,,,,,,,-0.199,-0.899,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6567,0.0,어려운 환경 속 실적 턴어라운드 달성,,,0,,,,,,,,0.11904761904761904,,,,,1,0.13869047619047617
476830,알지노믹스,생물공학,,,,,,,-0.2157,-0.9157,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.705,0.0,4월 AACR RZ-001 간암 중간 데이터에 주목,,,0,,,,,,,,0.10714285714285714,,,,,1,0.12857142857142856
332370,아이디피,컴퓨터와주변기기,,,,,,,-0.2306,-0.9306,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0609,0.603,0.0,안정성 기반으로 변화를 준비,,,0,,,,,,,,0.09523809523809523,,,,,1,0.11845238095238095
078340,컴투스,게임엔터테인먼트,,,,,,,-0.5044,-0.0285,1.0,1.0,0.0,0.8,-3.869,0.0,-2.9397,0.0,0.0,0.5272,0.0,콥데이 후기: 다가오는 기대 신작들,,,0,,,,,,,,0.08333333333333333,,,,,1,0.10833333333333334
241560,두산밥캣,기계/공작기계,,,,,,,-0.5122,-0.3296,2.0,2.0,0.0,0.7964,4.4702,0.0,-3.9566,0.0,0.0795,0.6227,0.0,"낮아진 딜러 재고, 높아진 밸류에이션 매력도",,,0,,,,,,,,0.07142857142857142,,,,,1,0.0982142857142857
006360,GS건설,건설/건자재,,,,,,,-0.5598,-1.2598,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0307,0.6013,0.0,"원전 소외주, 반등 포인트 점검",,,0,,,,,,,,0.05952380952380952,,,,,1,0.08809523809523809
007340,DN오토모티브,자동차부품,,,,,,,-0.7178,-1.4178,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2509,0.6572,0.0,밸류업의 조건들이 갖춰지고 있다,,,0,,,,,,,,0.047619047619047616,,,,,1,0.07797619047619048
014830,유니드,화학,,,,,,,-1.5556,-2.2556,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0154,1.0,1.0,유니드(014830) 중국 경질 탄산칼륨 재편의 수혜주,,,0,,,,,,,,0.03571428571428571,,,,,1,0.06785714285714285
